city,lat,lon
08880,40.55410055352113,-74.52893523802811
Ponteareas,42.1740961,-8.5050963
Montblanc,43.3958648,3.3672892
Mazarrón,37.5986534,-1.3138511
Oropesa del mar,40.0932103,0.1353519
Andújar,38.0392362,-4.0505603
El viso,38.4832661,-4.9554413
Dalías,36.8214576,-2.8702064
Alcázar de san juan,39.3899806,-3.2101376
Peralta,42.3385459,-1.7970061
Cáceres ,39.4745175,-6.3716761
El varadero playa granada ,36.7254279,-3.5304826
Altea,38.6028245,-0.0472059
Cordoba,37.8845813,-4.7760138
Montcada i reixac,41.4823115,2.1869985
Montesa,38.9481556,-0.6492732
El bosque,17.0247264,-92.74723009318356
Artea,43.1334436,-2.7843203
Fuensalida,40.0525597,-4.2088639
Arbucies,41.8160629,2.5141453
Mataro,41.5398348,2.4448926
Miranda de ebro,42.6855632,-2.9478451
Utrera,37.1824646,-5.7817506
Hontoria,43.4464679,-4.9120668
Yecla,38.613652,-1.1157373
Arganda del rey ,40.3007708,-3.4380688
Santa perpetua de mogoda,41.5328106,2.1823309
Nigran,42.1405445,-8.8070821
Alcalá de guadaira,37.3397709,-5.8408396
Soller,39.7663047,2.7150538
Rota ,36.6228636,-6.3599595
Llodio,43.1430692,-2.9624876
Dosrius,41.594347,2.4063166
Marchamalo,40.6688655,-3.2021136
Algete,40.5961652,-3.4974246
El molar,40.7347865,-3.584376
Arganda ,42.821857,-1.0856056
Vinaros,40.4703992,0.4746076
Villaviciosa,43.4813318,-5.4334618
Capellades,41.53,1.684787
Jerez de la frontera ,36.6816936,-6.1377402
Pinto,40.240985,-3.7005072
Mula,38.0418669,-1.4906872
Torre de benagalbon,36.7132853,-4.2701157
Vilafranca del penedes,41.3463825,1.6995213
Maracena,37.2076275,-3.633024
Getafe,40.3081807,-3.7302679
Santa coloma de gramenet,41.4515626,2.2083371
Caboalles de abajo,42.9524033,-6.3716227
Malaga ,36.7213028,-4.4216366
Nules,39.8532265,-0.1550092
Ollabarre,42.8418642,-2.8357312
Rivas vaciamadrid,40.3536054,-3.5310879
Orihuela,38.0906911,-0.946613
Castellar de santisteban,38.2514935,-3.1961021
Bellvei,41.2390234,1.5780273
Catadau,39.2748065,-0.5710963
Campo de criptana,39.4052539,-3.1254826
Consuegra ,39.460918,-3.6070786
Ajo,32.3933515,-112.90272302970297
28029,40.47416063592716,-3.7029849838411755
Isla de la toja,42.4882516,-8.848445
Huercal de almería ,36.8836087,-2.4398613
Córdoba ,37.8845813,-4.7760138
Almoradi ,38.1096615,-0.7919322
Basauri,43.2341364,-2.891012
Mijares,40.2958062,-4.8369086
Rociana del condado,37.3082195,-6.5978918
Moncada,39.5450484,-0.3941015
Valdivia,-39.8141262,-73.2459859
Carcaixent,39.1218973,-0.4467128
Maçanet de la selva,41.7774442,2.7309225
Jaén,37.9557275,-3.492055612037218
Pelayos de la presa,40.3605272,-4.3334254
Saceruela,38.9434102,-4.6083053
Vila-seca,41.1109268,1.144961
San carlos del valle,38.8443306,-3.2416783
Amora ,38.6297097,-9.1160023
Molina de segura,38.0580379,-1.206233
Sant vicenç dels horts,41.3934193,2.0099482
Zarautz,43.2834873,-2.1723467
Urdilde,42.8268595,-8.7379899
Estadilla,42.0554406,0.2442493
Girona,41.9793006,2.8199439
El puerto de santa maría ,36.601468,-6.2381494
Santa perpètua de mogoda,41.5328106,2.1823309
Vila-real,39.9372616,-0.1004465
Cuevas del almanzora,37.2961366,-1.8807223
Ibiza,38.974390099999994,1.4197463178515335
Premia de mar,41.4926822,2.3605846
Lo pagan,37.8217038,-0.7776322
Manzanares el real,40.7267632,-3.864981
Orcera,38.3180223,-2.6610525
Santiago de compostela,42.8804219,-8.5458608
Boadilla del monte ,40.4053485,-3.8764663
La linea,36.1677899,-5.3482396
Almudevar,42.0427209,-0.5808273
Polinyà ,41.5581661,2.1584568
Sant adria del besos,41.4203693,2.2097125
Parets del vallés,41.5729887,2.2329289
Celanova,42.1523149,-7.9580863
Verea,42.0989391,-7.9510671
Blanes,41.6756178,2.7932391
Denia,38.8408382,0.1061105
Bescanó,41.9670349,2.7389937
Sant quirze del valles,41.530143,2.0820052
Santa cruz de la zarza,39.9812739,-3.1886386
